Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1998 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,16725 ,64 ,TONS ,1070000
1998 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,17500 ,70 ,TONS ,1225000
1998 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,67800 ,77 ,TONS ,5221000
1998 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,10151 ,80 ,TONS ,812000
1998 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,111000 ,70 ,TONS ,7735000
1998 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,1000 ,82 ,TONS ,82000
1998 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,58470 ,70 ,TONS ,4093000
1998 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,84845 ,72 ,TONS ,6128000
1998 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,55500 ,99 ,TONS ,5513000
1998 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,749 ,61 ,TONS ,45700
1998 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,86900 ,73 ,TONS ,6344000
1998 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,685 ,70 ,TONS ,48000
1998 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,27900 ,80 ,TONS ,2232000
1998 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,709 ,71 ,TONS ,50000
1998 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,539934 ,75 ,    ,40598700
1998 ,261999 ,ALMONDS ALL ,7 ,Butte ,31117 ,0.47 ,14625 ,3009 ,TONS ,44007000
1998 ,261999 ,ALMONDS ALL ,11 ,Colusa ,20150 ,0.62 ,12493 ,3100 ,TONS ,38728000
1998 ,261999 ,ALMONDS ALL ,19 ,Fresno ,46968 ,0.76 ,35700 ,3360 ,TONS ,119952000
1998 ,261999 ,ALMONDS ALL ,21 ,Glenn ,21339 ,0.39 ,8322 ,2925 ,TONS ,24342000
1998 ,261999 ,ALMONDS ALL ,29 ,Kern ,79587 ,0.62 ,49300 ,3205 ,TONS ,157984000
1998 ,261999 ,ALMONDS ALL ,31 ,Kings ,2097 ,0.90 ,1887 ,3217 ,TONS ,6070000
1998 ,261999 ,ALMONDS ALL ,39 ,Madera ,43635 ,0.67 ,29235 ,3100 ,TONS ,90629000
1998 ,261999 ,ALMONDS ALL ,47 ,Merced ,74182 ,0.51 ,37605 ,2880 ,TONS ,108302000
1998 ,261999 ,ALMONDS ALL ,67 ,Sacramento ,158 ,0.50 ,79 ,3000 ,TONS ,237000
1998 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,38500 ,0.58 ,22200 ,3594 ,TONS ,79778000
1998 ,261999 ,ALMONDS ALL ,95 ,Solano ,1501 ,0.40 ,600 ,3113 ,TONS ,1868000
1998 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,87000 ,0.70 ,60900 ,2900 ,TONS ,176610000
1998 ,261999 ,ALMONDS ALL ,101 ,Sutter ,4026 ,0.68 ,2738 ,3018 ,TONS ,8262800
1998 ,261999 ,ALMONDS ALL ,103 ,Tehama ,5650 ,0.59 ,3330 ,2873 ,TONS ,9566000
1998 ,261999 ,ALMONDS ALL ,107 ,Tulare ,13395 ,0.82 ,11000 ,3400 ,TONS ,37400000
1998 ,261999 ,ALMONDS ALL ,113 ,Yolo ,5879 ,0.40 ,2352 ,3161 ,TONS ,7434000
1998 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1181 ,0.48 ,567 ,3189 ,TONS ,1808000
1998 ,261999 ,ALMONDS ALL ,991 ,Sum of Others ,1202 ,  ,  ,  ,  ,6100
1998 ,261999 ,ALMONDS ALL , 999, State Totals,477567 ,0.61 ,292933 ,3117 ,    ,912983900
1998 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,492 ,12.19 ,5999 ,541 ,TONS ,3243000
1998 ,333999 ,ANISE (FENNEL) ,991 ,Sum of Others ,208 ,  ,  ,  ,  ,1506600
1998 ,333999 ,ANISE (FENNEL) , 999, State Totals,700 ,12.19 ,5999 ,541 ,    ,4749600
1998 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,89 ,Shasta ,  ,  ,4400 ,31 ,EACH ,138400
1998 ,484999 ,APIARY PRODUCTS BEES NUCLEI , 999, State Totals,0 ,  ,4400 ,31 ,    ,138400
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,11 ,Colusa ,  ,  ,7000 ,6 ,LBS ,42000
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,21 ,Glenn ,  ,  ,101000 ,6 ,LBS ,610000
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,47 ,Merced ,  ,  ,63296 ,7 ,LBS ,421000
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,89 ,Shasta ,  ,  ,17800 ,6 ,LBS ,107500
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,95 ,Solano ,  ,  ,4600 ,9 ,LBS ,42000
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,99 ,Stanislaus ,  ,  ,1600 ,4 ,LBS ,6400
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. ,101 ,Sutter ,  ,  ,7700 ,9 ,LBS ,69300
1998 ,483999 ,APIARY PRODUCTS BEES PCKG. , 999, State Totals,0 ,  ,202996 ,6 ,    ,1298200
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,11 ,Colusa ,  ,  ,33000 ,7 ,EACH ,231000
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,21 ,Glenn ,  ,  ,85000 ,7 ,EACH ,614000
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,47 ,Merced ,  ,  ,30784 ,5 ,EACH ,168000
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,59 ,Orange ,  ,  ,403 ,8 ,EACH ,3300
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,65 ,Riverside ,  ,  ,500 ,8 ,EACH ,4000
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,89 ,Shasta ,  ,  ,88300 ,8 ,EACH ,670200
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,95 ,Solano ,  ,  ,13500 ,8 ,EACH ,104600
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,99 ,Stanislaus ,  ,  ,12960 ,7 ,EACH ,86300
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN ,101 ,Sutter ,  ,  ,22420 ,5 ,EACH ,123300
1998 ,485999 ,APIARY PRODUCTS BEES QUEEN , 999, State Totals,0 ,  ,286867 ,7 ,    ,2004700
1998 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,7 ,Butte ,  ,  ,  ,  ,  ,325000
1998 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,9 ,Calaveras ,  ,  ,  ,  ,  ,551600
