Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1981 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,32000 ,25 ,TONS ,800000
1981 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,10600 ,25 ,TONS ,265000
1981 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,25800 ,50 ,TONS ,1290000
1981 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,76700 ,59 ,TONS ,4502000
1981 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,3169 ,52 ,TONS ,164790
1981 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,26000 ,45 ,TONS ,1170000
1981 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,57200 ,39 ,TONS ,2250000
1981 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,40300 ,44 ,TONS ,1773000
1981 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,1693 ,25 ,TONS ,42000
1981 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,62200 ,40 ,TONS ,2488000
1981 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,5200 ,25 ,TONS ,128000
1981 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,16900 ,52 ,TONS ,887000
1981 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,2211 ,25 ,TONS ,54600
1981 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,359973 ,44 ,    ,15814390
1981 ,261999 ,ALMONDS ALL ,7 ,Butte ,30200 ,0.85 ,25670 ,1500 ,TONS ,38505000
1981 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,90 ,0.13 ,12 ,2100 ,TONS ,25200
1981 ,261999 ,ALMONDS ALL ,11 ,Colusa ,14400 ,0.32 ,4600 ,1320 ,TONS ,6072000
1981 ,261999 ,ALMONDS ALL ,13 ,Contra Costa ,2760 ,0.30 ,820 ,1189 ,TONS ,975000
1981 ,261999 ,ALMONDS ALL ,19 ,Fresno ,23820 ,0.75 ,17900 ,1500 ,TONS ,26850000
1981 ,261999 ,ALMONDS ALL ,21 ,Glenn ,8856 ,0.63 ,5579 ,1500 ,TONS ,8369000
1981 ,261999 ,ALMONDS ALL ,29 ,Kern ,61592 ,0.65 ,40200 ,1461 ,TONS ,58740000
1981 ,261999 ,ALMONDS ALL ,31 ,Kings ,4535 ,0.42 ,1909 ,2000 ,TONS ,3818000
1981 ,261999 ,ALMONDS ALL ,33 ,Lake ,114 ,0.12 ,14 ,1853 ,TONS ,25935
1981 ,261999 ,ALMONDS ALL ,37 ,Los Angeles ,101 ,0.06 ,6 ,1250 ,TONS ,7500
1981 ,261999 ,ALMONDS ALL ,39 ,Madera ,20315 ,0.64 ,13000 ,1280 ,TONS ,16640000
1981 ,261999 ,ALMONDS ALL ,47 ,Merced ,45741 ,0.60 ,27440 ,1400 ,TONS ,38416000
1981 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,30998 ,0.64 ,19800 ,1403 ,TONS ,27775000
1981 ,261999 ,ALMONDS ALL ,79 ,San Luis Obispo ,6154 ,0.10 ,585 ,2501 ,TONS ,1463000
1981 ,261999 ,ALMONDS ALL ,95 ,Solano ,2990 ,0.45 ,1354 ,1320 ,TONS ,1787300
1981 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,45760 ,0.80 ,36608 ,1400 ,TONS ,51251000
1981 ,261999 ,ALMONDS ALL ,101 ,Sutter ,4742 ,0.48 ,2288 ,1700 ,TONS ,3890000
1981 ,261999 ,ALMONDS ALL ,103 ,Tehama ,4069 ,0.89 ,3620 ,1370 ,TONS ,4959000
1981 ,261999 ,ALMONDS ALL ,107 ,Tulare ,8618 ,0.68 ,5860 ,1570 ,TONS ,9200000
1981 ,261999 ,ALMONDS ALL ,113 ,Yolo ,9935 ,0.35 ,3477 ,1320 ,TONS ,4590000
1981 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1553 ,0.89 ,1382 ,1320 ,TONS ,1824500
1981 ,261999 ,ALMONDS ALL , 999, State Totals,327343 ,0.65 ,212124 ,1439 ,    ,305183435
1981 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,144 ,16.01 ,2305 ,292 ,TONS ,673000
1981 ,333999 ,ANISE (FENNEL) , 999, State Totals,144 ,16.01 ,2305 ,292 ,    ,673000
1981 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,7 ,Butte ,  ,  ,1800 ,20 ,EACH ,36000
1981 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,39 ,Madera ,  ,  ,1200 ,28 ,EACH ,34000
1981 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,47 ,Merced ,  ,  ,900 ,13 ,EACH ,11500
1981 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,65 ,Riverside ,  ,  ,7500 ,20 ,EACH ,150000
1981 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,71 ,San Bernardino ,  ,  ,3050 ,22 ,EACH ,67100
1981 ,484999 ,APIARY PRODUCTS BEES NUCLEI , 999, State Totals,0 ,  ,14450 ,21 ,    ,298600
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,7 ,Butte ,  ,  ,79000 ,6 ,LBS. ,474000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,11 ,Colusa ,  ,  ,17500 ,12 ,LBS. ,210000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,21 ,Glenn ,  ,  ,169000 ,6 ,LBS. ,1006000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,47 ,Merced ,  ,  ,10400 ,5 ,LBS. ,46800
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,61 ,Placer ,  ,  ,25000 ,5 ,LBS. ,125000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,73 ,San Diego ,  ,  ,  ,  ,LBS. ,6000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,89 ,Shasta ,  ,  ,175000 ,6 ,LBS. ,962500
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,95 ,Solano ,  ,  ,7600 ,6 ,LBS. ,45600
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,97 ,Sonoma ,  ,  ,2900 ,4 ,LBS. ,10700
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,99 ,Stanislaus ,  ,  ,45000 ,4 ,LBS. ,202000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,101 ,Sutter ,  ,  ,122000 ,8 ,LBS. ,1009000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,103 ,Tehama ,  ,  ,51700 ,8 ,LBS. ,388000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,113 ,Yolo ,  ,  ,11700 ,10 ,LBS. ,117000
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. ,115 ,Yuba ,  ,  ,19200 ,6 ,LBS. ,112300
1981 ,483999 ,APIARY PRODUCTS BEES PCKG. , 999, State Totals,0 ,  ,736000 ,6 ,    ,4714900
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,7 ,Butte ,  ,  ,47000 ,6 ,EACH ,282000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,11 ,Colusa ,  ,  ,34000 ,6 ,EACH ,204000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,21 ,Glenn ,  ,  ,114000 ,6 ,EACH ,633000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,47 ,Merced ,  ,  ,9900 ,5 ,EACH ,49500
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,61 ,Placer ,  ,  ,12370 ,5 ,EACH ,68000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,65 ,Riverside ,  ,  ,15850 ,2 ,EACH ,23775
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,89 ,Shasta ,  ,  ,180500 ,6 ,EACH ,1046900
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,95 ,Solano ,  ,  ,6200 ,5 ,EACH ,31000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,99 ,Stanislaus ,  ,  ,35800 ,5 ,EACH ,179000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,101 ,Sutter ,  ,  ,75100 ,6 ,EACH ,422000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,113 ,Yolo ,  ,  ,28700 ,5 ,EACH ,144000
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN ,115 ,Yuba ,  ,  ,14500 ,6 ,EACH ,81900
1981 ,485999 ,APIARY PRODUCTS BEES QUEEN , 999, State Totals,0 ,  ,573920 ,6 ,    ,3165075
1981 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,17 ,El Dorado ,  ,  ,  ,  ,  ,223400
1981 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,33 ,Lake ,  ,  ,  ,  ,  ,17425
