Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1989 ,172299 ,  ,21 ,Glenn ,4207 ,0.17 ,696 ,2398 ,TONS ,1669000
1989 ,601199 ,  ,65 ,Riverside ,  ,  ,21047074 ,12 ,CWT ,260773200
1989 ,489799 ,  ,115 ,Yuba ,  ,  ,  ,  ,  ,169000
1989 ,489799 ,  , 999, State Totals,4207 ,0.17 ,21047770 ,12 ,    ,262611200
1989 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,21484 ,62 ,TONS ,1332000
1989 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,10125 ,50 ,TONS ,506000
1989 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,42500 ,60 ,TONS ,2550000
1989 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,18249 ,60 ,TONS ,1095000
1989 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,129000 ,82 ,TONS ,10607000
1989 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,1071 ,68 ,TONS ,73000
1989 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,45986 ,68 ,TONS ,3127000
1989 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,82200 ,67 ,TONS ,5507000
1989 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,42000 ,69 ,TONS ,2898000
1989 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,543 ,22 ,TONS ,11900
1989 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,112000 ,64 ,TONS ,7112000
1989 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,495 ,50 ,TONS ,24800
1989 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,15400 ,76 ,TONS ,1170000
1989 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,2384 ,25 ,TONS ,59600
1989 ,268099 ,ALMOND HULLS ,991 ,Sum of Others ,  ,  ,  ,  ,  ,120000
1989 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,523437 ,69 ,    ,36193300
1989 ,261999 ,ALMONDS ALL ,7 ,Butte ,38222 ,0.45 ,17200 ,2200 ,TONS ,37840000
1989 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,  ,  ,4 ,2375 ,TONS ,9500
1989 ,261999 ,ALMONDS ALL ,11 ,Colusa ,16200 ,0.50 ,8100 ,2000 ,TONS ,16200000
1989 ,261999 ,ALMONDS ALL ,13 ,Contra Costa ,300 ,0.07 ,20 ,1880 ,TONS ,37600
1989 ,261999 ,ALMONDS ALL ,19 ,Fresno ,30375 ,0.73 ,22200 ,2200 ,TONS ,48840000
1989 ,261999 ,ALMONDS ALL ,21 ,Glenn ,14599 ,0.37 ,5402 ,2300 ,TONS ,12425000
1989 ,261999 ,ALMONDS ALL ,29 ,Kern ,71905 ,0.88 ,63000 ,2200 ,TONS ,138600000
1989 ,261999 ,ALMONDS ALL ,31 ,Kings ,3061 ,0.66 ,2020 ,2160 ,TONS ,4363000
1989 ,261999 ,ALMONDS ALL ,33 ,Lake ,23 ,0.13 ,3 ,1667 ,TONS ,5000
1989 ,261999 ,ALMONDS ALL ,39 ,Madera ,34323 ,0.66 ,22653 ,2200 ,TONS ,49837000
1989 ,261999 ,ALMONDS ALL ,47 ,Merced ,64645 ,0.62 ,40100 ,2000 ,TONS ,80200000
1989 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,37400 ,0.56 ,21000 ,2196 ,TONS ,46111000
1989 ,261999 ,ALMONDS ALL ,79 ,San Luis Obispo ,4299 ,0.02 ,99 ,3747 ,TONS ,371000
1989 ,261999 ,ALMONDS ALL ,95 ,Solano ,1876 ,0.23 ,434 ,2001 ,TONS ,868600
1989 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,67800 ,0.63 ,42714 ,2200 ,TONS ,93971000
1989 ,261999 ,ALMONDS ALL ,101 ,Sutter ,4324 ,0.46 ,1989 ,2000 ,TONS ,3978000
1989 ,261999 ,ALMONDS ALL ,103 ,Tehama ,6478 ,0.31 ,2030 ,2100 ,TONS ,4263000
1989 ,261999 ,ALMONDS ALL ,107 ,Tulare ,8787 ,0.69 ,6060 ,2260 ,TONS ,13696000
1989 ,261999 ,ALMONDS ALL ,113 ,Yolo ,7640 ,0.41 ,3132 ,3098 ,TONS ,9702000
1989 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1907 ,0.45 ,858 ,2200 ,TONS ,1887900
1989 ,261999 ,ALMONDS ALL ,991 ,Sum of Others ,261 ,  ,  ,  ,  ,143404
1989 ,261999 ,ALMONDS ALL , 999, State Totals,414425 ,0.63 ,259018 ,2174 ,    ,563349004
1989 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,271 ,11.77 ,3190 ,423 ,TONS ,1348000
1989 ,333999 ,ANISE (FENNEL) ,991 ,Sum of Others ,167 ,  ,  ,  ,  ,599942
1989 ,333999 ,ANISE (FENNEL) , 999, State Totals,438 ,11.77 ,3190 ,423 ,    ,1947942
1989 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,71 ,San Bernardino ,  ,  ,3422 ,30 ,PKG ,103000
1989 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,89 ,Shasta ,  ,  ,5200 ,25 ,EACH ,128200
1989 ,484999 ,APIARY PRODUCTS BEES NUCLEI , 999, State Totals,0 ,  ,8622 ,27 ,    ,231200
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,11 ,Colusa ,  ,  ,15500 ,6 ,LBS ,93000
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,21 ,Glenn ,  ,  ,59000 ,3 ,LBS ,193000
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,47 ,Merced ,  ,  ,10000 ,4 ,LBS ,40000
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,61 ,Placer ,  ,  ,25700 ,5 ,LBS ,116000
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,73 ,San Diego ,  ,  ,  ,  ,  ,73500
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,89 ,Shasta ,  ,  ,24000 ,4 ,LBS ,85700
1989 ,483999 ,APIARY PRODUCTS BEES PCKG. ,95 ,Solano ,  ,  ,2240 ,8 ,LBS ,17900
