Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1984 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,33600 ,40 ,TONS ,1344000
1984 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,8130 ,35 ,TONS ,284500
1984 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,39500 ,50 ,TONS ,1975000
1984 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,137000 ,57 ,TONS ,7875000
1984 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,1930 ,65 ,TONS ,125000
1984 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,29964 ,40 ,TONS ,1199000
1984 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,86200 ,48 ,TONS ,4138000
1984 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,52400 ,52 ,TONS ,2725000
1984 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,1432 ,35 ,TONS ,50100
1984 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,82300 ,41 ,TONS ,3374000
1984 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,4640 ,36 ,TONS ,167000
1984 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,19300 ,52 ,TONS ,1004000
1984 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,1538 ,35 ,TONS ,53800
1984 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,497934 ,49 ,    ,24314400
1984 ,261999 ,ALMONDS ALL ,7 ,Butte ,34587 ,0.81 ,28016 ,1700 ,TONS ,47627000
1984 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,  ,  ,10 ,2500 ,TONS ,25000
1984 ,261999 ,ALMONDS ALL ,11 ,Colusa ,15500 ,0.67 ,10416 ,833 ,TONS ,8680000
1984 ,261999 ,ALMONDS ALL ,13 ,Contra Costa ,2180 ,0.17 ,375 ,2072 ,TONS ,777000
1984 ,261999 ,ALMONDS ALL ,19 ,Fresno ,26300 ,0.94 ,24700 ,1800 ,TONS ,44460000
1984 ,261999 ,ALMONDS ALL ,21 ,Glenn ,11766 ,1.11 ,13102 ,885 ,TONS ,11601000
1984 ,261999 ,ALMONDS ALL ,29 ,Kern ,70946 ,0.92 ,65400 ,1459 ,TONS ,95431000
1984 ,261999 ,ALMONDS ALL ,31 ,Kings ,3872 ,0.94 ,3640 ,1700 ,TONS ,6188000
1984 ,261999 ,ALMONDS ALL ,33 ,Lake ,109 ,0.10 ,11 ,1452 ,TONS ,15975
1984 ,261999 ,ALMONDS ALL ,39 ,Madera ,24970 ,0.60 ,14982 ,1600 ,TONS ,23971000
1984 ,261999 ,ALMONDS ALL ,47 ,Merced ,58254 ,1.60 ,92928 ,854 ,TONS ,79376000
1984 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,34475 ,1.46 ,50304 ,833 ,TONS ,41920000
1984 ,261999 ,ALMONDS ALL ,79 ,San Luis Obispo ,5979 ,0.04 ,251 ,1600 ,TONS ,401600
1984 ,261999 ,ALMONDS ALL ,95 ,Solano ,2777 ,0.79 ,2198 ,886 ,TONS ,1946500
1984 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,54853 ,0.89 ,48545 ,1700 ,TONS ,82526000
